year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1885.25,-3.78,9.15,-1.18
1885.083,-3.59,9.28,-1.72
1884.917,-4.23,9.09,-1.92
1884.75,-4.67,8.87,-1.33
1884.583,-4.62,8.83,-0.99
1884.417,-4.13,9.05,-0.95
1884.25,-3.6,9.24,-1.06
1884.083,-3.55,9.29,-1.55
1883.917,-4.24,9.11,-1.87
1883.75,-4.54,8.98,-1.38
1883.583,-4.77,8.93,-1.11
1883.417,-4.13,9.08,-0.86
1883.25,-3.44,9.39,-1.14
1883.083,-3.6,9.34,-1.61
1882.917,-4.28,9.17,-1.64
1882.75,-4.61,9.03,-1.71
1882.583,-4.48,9.02,-1.4
1882.417,-4.32,8.99,-1.36
1882.25,-3.8,9.23,-1.02
1882.083,-3.56,9.38,-1.53
1881.917,-3.83,9.27,-2.36
1881.75,-4.49,9.03,-2.42
1881.583,-4.45,8.88,-1.75
1881.417,-4.15,8.96,-1.41
1881.25,-3.67,9.24,-1.65
1881.083,-3.64,9.29,-2.24
1880.917,-4.08,9.16,-2.7
1880.75,-4.62,9.02,-2.3
1880.583,-4.52,8.97,-1.96
1880.417,-4.47,9.02,-1.87
1880.25,-3.91,9.18,-1.38
1880.083,-3.69,9.29,-1.89
1879.917,-4.07,9.21,-2.79
1879.75,-4.5,9.03,-2.14
1879.583,-4.65,8.98,-1.04
1879.417,-4.38,9.08,-0.61
1879.25,-3.9,9.13,-0.93
1879.083,-3.94,9.12,-2
1878.917,-4.36,9.05,-2.19
1878.75,-4.7,8.9,-1.84
1878.583,-4.67,8.96,-1.64
1878.417,-4.4,9.03,-1.24
1878.25,-3.87,9.18,-0.87
1878.083,-3.65,9.28,-1.07
1877.917,-3.97,9.22,-1.53
1877.75,-4.39,9.09,-1.59
1877.583,-4.45,9.03,-1.29
1877.417,-4.35,8.99,-0.53
1877.25,-3.64,9.19,-0.2
1877.083,-3.42,9.3,-0.95
1876.917,-3.86,9.23,-2.14
1876.75,-4.43,9.03,-2.13
1876.583,-4.62,8.96,-1.52
1876.417,-4.38,9,-1.2
1876.25,-3.82,9.2,-1.07
1876.083,-3.65,9.29,-1.33
1875.917,-4.08,9.16,-1.61
1875.75,-4.48,9.01,-1.33
1875.583,-4.34,8.95,-0.84
1875.417,-3.6,9.16,-0.74
1875.25,-3.28,9.34,-1.23
1875.083,-3.65,9.29,-1.8
1874.917,-4.25,9.12,-1.98
1874.75,-4.43,9,-1.45
1874.583,-4.32,9.04,-1.37
1874.417,-3.77,9.21,-1.08
1874.25,-3.48,9.29,-1.29
