year (AD),age (BP),accumulation (gcm-2a-1),depth_top_m (m),thicnkess_m (m)
-6717.3,8667.3,0.252,1388.75,0.106
-6722.5,8672.5,0.237,1389.3,0.099
-6728.1,8678.1,0.243,1389.85,0.102
-6733.5,8683.5,0.225,1390.4,0.094
-6739.3,8689.3,0.247,1390.95,0.103
-6744.6,8694.6,0.218,1391.5,0.091
-6750.7,8700.7,0.23,1392.05,0.096
-6756.4,8706.4,0.229,1392.6,0.095
-6762.1,8712.1,0.241,1393.15,0.101
-6767.6,8717.6,0.241,1393.7,0.1
-6773.1,8723.1,0.244,1394.25,0.102
-6778.5,8728.5,0.255,1394.8,0.106
-6783.6,8733.6,0.242,1395.35,0.101
-6789.1,8739.1,0.22,1395.9,0.091
-6795.1,8745.1,0.221,1396.45,0.092
-6801.1,8751.1,0.225,1397,0.093
-6807,8757,0.244,1397.55,0.102
-6812.4,8762.4,0.234,1398.1,0.097
-6818,8768,0.25,1398.65,0.104
-6823.4,8773.4,0.237,1399.2,0.098
-6828.9,8778.9,0.224,1399.75,0.093
-6834.9,8784.9,0.251,1400.3,0.104
-6840.1,8790.1,0.251,1400.85,0.104
-6845.4,8795.4,0.239,1401.4,0.099
-6851,8801,0.251,1401.95,0.104
-6856.3,8806.3,0.246,1402.5,0.102
-6861.7,8811.7,0.248,1403.05,0.103
-6867.1,8817.1,0.239,1403.6,0.099
-6872.6,8822.6,0.238,1404.15,0.098
-6878.2,8828.2,0.256,1404.7,0.106
-6883.4,8833.4,0.254,1405.25,0.105
-6888.7,8838.7,0.245,1405.8,0.101
-6894.1,8844.1,0.243,1406.35,0.1
-6899.6,8849.6,0.242,1406.9,0.1
-6905.1,8855.1,0.239,1407.45,0.099
-6910.7,8860.7,0.238,1408,0.098
-6916.3,8866.3,0.26,1408.55,0.107
-6921.5,8871.5,0.251,1409.1,0.103
-6926.8,8876.8,0.224,1409.65,0.092
-6932.8,8882.8,0.246,1410.2,0.101
-6938.3,8888.3,0.228,1410.75,0.094
-6944.1,8894.1,0.239,1411.3,0.098
-6949.7,8899.7,0.242,1411.85,0.099
-6955.3,8905.3,0.247,1412.4,0.101
-6960.7,8910.7,0.235,1412.95,0.096
-6966.4,8916.4,0.22,1413.5,0.09
-6972.5,8922.5,0.231,1414.05,0.095
-6978.4,8928.4,0.237,1414.6,0.097
-6984,8934,0.237,1415.15,0.097
-6989.7,8939.7,0.229,1415.7,0.094
-6995.6,8945.6,0.243,1416.25,0.099
-7001.2,8951.2,0.227,1416.8,0.092
-7007.1,8957.1,0.248,1417.35,0.101
-7012.5,8962.5,0.225,1417.9,0.091
-7018.6,8968.6,0.238,1418.45,0.097
-7024.2,8974.2,0.242,1419,0.098
-7029.8,8979.8,0.227,1419.55,0.092
-7035.8,8985.8,0.249,1420.1,0.101
-7041.2,8991.2,0.236,1420.65,0.096
-7047,8997,0.239,1421.2,0.097
-7052.6,9002.6,0.211,1421.75,0.085
-7059.1,9009.1,0.242,1422.3,0.098
-7064.7,9014.7,0.256,1422.85,0.103
-7070,9020,0.255,1423.4,0.103
-7075.3,9025.3,0.259,1423.95,0.105
-7080.6,9030.6,0.252,1424.5,0.102
-7086,9036,0.244,1425.05,0.098
-7091.6,9041.6,0.236,1425.6,0.095
-7097.4,9047.4,0.243,1426.15,0.098
-7103,9053,0.235,1426.7,0.095
-7108.8,9058.8,0.245,1427.25,0.099
-7114.3,9064.3,0.25,1427.8,0.1
-7119.8,9069.8,0.254,1428.35,0.102
-7125.2,9075.2,0.237,1428.9,0.095
-7131,9081,0.236,1429.45,0.095
-7136.8,9086.8,0.244,1430,0.098
-7142.4,9092.4,0.225,1430.55,0.09
-7148.5,9098.5,0.241,1431.1,0.097
-7154.2,9104.2,0.237,1431.65,0.095
-7159.9,9109.9,0.243,1432.2,0.098
-7165.6,9115.6,0.233,1432.75,0.093
-7171.5,9121.5,0.235,1433.3,0.094
-7177.3,9127.3,0.235,1433.85,0.094
-7183.1,9133.1,0.235,1434.4,0.094
-7189,9139,0.247,1434.95,0.099
-7194.6,9144.6,0.222,1435.5,0.089
-7200.8,9150.8,0.219,1436.05,0.087
-7207.1,9157.1,0.208,1436.6,0.083
-7213.7,9163.7,0.225,1437.15,0.089
-7219.9,9169.9,0.229,1437.7,0.091
-7225.9,9175.9,0.232,1438.25,0.092
-7231.8,9181.8,0.242,1438.8,0.096
-7237.5,9187.5,0.243,1439.35,0.097
-7243.2,9193.2,0.248,1439.9,0.099
-7248.8,9198.8,0.236,1440.45,0.094
-7254.6,9204.6,0.226,1441,0.09
-7260.8,9210.8,0.233,1441.55,0.093
-7266.7,9216.7,0.257,1442.1,0.102
-7272.1,9222.1,0.241,1442.65,0.096
-7277.8,9227.8,0.24,1443.2,0.095
-7283.6,9233.6,0.239,1443.75,0.095
-7289.4,9239.4,0.244,1444.3,0.096
-7295.1,9245.1,0.249,1444.85,0.099
-7300.7,9250.7,0.223,1445.4,0.088
-7307,9257,0.228,1445.95,0.09
-7313.1,9263.1,0.248,1446.5,0.098
-7318.7,9268.7,0.251,1447.05,0.099
-7324.2,9274.2,0.251,1447.6,0.099
-7329.8,9279.8,0.241,1448.15,0.095
-7335.6,9285.6,0.243,1448.7,0.096
-7341.3,9291.3,0.25,1449.25,0.098
-7346.9,9296.9,0.239,1449.8,0.094
-7352.8,9302.8,0.24,1450.35,0.094
-7358.6,9308.6,0.25,1450.9,0.098
-7364.2,9314.2,0.229,1451.45,0.09
-7370.3,9320.3,0.245,1452,0.096
-7376,9326,0.241,1452.55,0.094
-7381.9,9331.9,0.24,1453.1,0.094
-7387.7,9337.7,0.25,1453.65,0.098
-7393.3,9343.3,0.244,1454.2,0.096
-7399.1,9349.1,0.249,1454.75,0.098
-7404.7,9354.7,0.244,1455.3,0.096
-7410.5,9360.5,0.244,1455.85,0.096
-7416.2,9366.2,0.218,1456.4,0.085
-7422.7,9372.7,0.247,1456.95,0.097
-7428.4,9378.4,0.243,1457.5,0.095
-7434.2,9384.2,0.26,1458.05,0.101
-7439.6,9389.6,0.237,1458.6,0.092
-7445.6,9395.6,0.239,1459.15,0.093
-7451.5,9401.5,0.237,1459.7,0.092
-7457.5,9407.5,0.237,1460.25,0.092
-7463.4,9413.4,0.232,1460.8,0.09
-7469.5,9419.5,0.248,1461.35,0.097
-7475.2,9425.2,0.232,1461.9,0.09
-7481.3,9431.3,0.227,1462.45,0.088
-7487.6,9437.6,0.209,1463,0.081
-7494.3,9444.3,0.231,1463.55,0.089
-7500.5,9450.5,0.237,1464.1,0.092
-7506.5,9456.5,0.248,1464.65,0.096
-7512.2,9462.2,0.242,1465.2,0.094
-7518.1,9468.1,0.231,1465.75,0.089
-7524.2,9474.2,0.253,1466.3,0.098
-7529.9,9479.9,0.242,1466.85,0.093
-7535.8,9485.8,0.241,1467.4,0.093
-7541.7,9491.7,0.238,1467.95,0.092
-7547.7,9497.7,0.234,1468.5,0.09
-7553.8,9503.8,0.244,1469.05,0.094
-7559.6,9509.6,0.229,1469.6,0.088
-7565.8,9515.8,0.241,1470.15,0.093
-7571.8,9521.8,0.237,1470.7,0.091
-7577.8,9527.8,0.237,1471.25,0.091
-7583.9,9533.9,0.237,1471.8,0.091
-7589.9,9539.9,0.224,1472.35,0.086
-7596.3,9546.3,0.236,1472.9,0.09
-7602.4,9552.4,0.251,1473.45,0.096
-7608.1,9558.1,0.254,1474,0.097
-7613.8,9563.8,0.255,1474.55,0.098
-7619.4,9569.4,0.252,1475.1,0.096
-7625.1,9575.1,0.238,1475.65,0.091
-7631.1,9581.1,0.232,1476.2,0.089
-7637.3,9587.3,0.226,1476.75,0.086
-7643.7,9593.7,0.248,1477.3,0.095
-7649.5,9599.5,0.243,1477.85,0.093
-7655.5,9605.5,0.234,1478.4,0.089
-7661.6,9611.6,0.242,1478.95,0.092
-7667.6,9617.6,0.236,1479.5,0.09
-7673.7,9623.7,0.239,1480.05,0.091
-7679.8,9629.8,0.234,1480.6,0.089
-7685.9,9635.9,0.239,1481.15,0.091
-7692,9642,0.231,1481.7,0.088
-7698.3,9648.3,0.247,1482.25,0.094
-7704.1,9654.1,0.22,1482.8,0.083
-7710.7,9660.7,0.235,1483.35,0.089
-7716.9,9666.9,0.225,1483.9,0.085
-7723.3,9673.3,0.239,1484.45,0.09
-7729.4,9679.4,0.228,1485,0.086
-7735.8,9685.8,0.245,1485.55,0.093
-7741.7,9691.7,0.254,1486.1,0.096
-7747.4,9697.4,0.241,1486.65,0.091
-7753.5,9703.5,0.24,1487.2,0.09
-7759.6,9709.6,0.237,1487.75,0.089
-7765.7,9715.7,0.233,1488.3,0.088
-7772,9722,0.232,1488.85,0.087
-7778.3,9728.3,0.237,1489.4,0.089
-7784.4,9734.4,0.254,1489.95,0.096
-7790.2,9740.2,0.238,1490.5,0.089
-7796.3,9746.3,0.237,1491.05,0.089
-7802.5,9752.5,0.246,1491.6,0.092
-7808.4,9758.4,0.247,1492.15,0.092
-7814.4,9764.4,0.238,1492.7,0.089
-7820.6,9770.6,0.233,1493.25,0.087
-7826.9,9776.9,0.241,1493.8,0.09
-7832.9,9782.9,0.243,1494.35,0.091
-7839,9789,0.239,1494.9,0.089
-7845.1,9795.1,0.214,1495.45,0.08
-7852,9802,0.22,1496,0.082
-7858.7,9808.7,0.238,1496.55,0.089
-7864.9,9814.9,0.241,1497.1,0.09
-7871,9821,0.248,1497.65,0.093
-7876.9,9826.9,0.249,1498.2,0.093
-7882.8,9832.8,0.244,1498.75,0.091
-7888.9,9838.9,0.231,1499.3,0.086
-7895.3,9845.3,0.231,1499.85,0.086
-7901.7,9851.7,0.235,1500.4,0.087
-7908,9858,0.25,1500.95,0.093
-7913.9,9863.9,0.233,1501.5,0.087
-7920.2,9870.2,0.245,1502.05,0.091
-7926.3,9876.3,0.233,1502.6,0.087
-7932.6,9882.6,0.238,1503.15,0.088
-7938.9,9888.9,0.234,1503.7,0.087
-7945.2,9895.2,0.225,1504.25,0.084
-7951.8,9901.8,0.208,1504.8,0.077
-7959,9909,0.247,1505.35,0.091
-7965,9915,0.225,1505.9,0.083
-7971.6,9921.6,0.217,1506.45,0.08
-7978.5,9928.5,0.237,1507,0.087
-7984.8,9934.8,0.227,1507.55,0.084
-7991.3,9941.3,0.218,1508.1,0.08
-7998.2,9948.2,0.232,1508.65,0.085
-8004.6,9954.6,0.217,1509.2,0.08
-8012,9962,0.235,1509.75,0.086
-8018,9968,0.234,1510.3,0.086
-8024,9974,0.243,1510.85,0.089
-8030,9980,0.231,1511.4,0.085
-8037,9987,0.23,1511.95,0.084
-8043,9993,0.228,1512.5,0.083
-8050,10000,0.214,1513.05,0.078
-8057,10007,0.234,1513.6,0.086
-8064,10014,0.238,1514.15,0.087
-8070,10020,0.232,1514.7,0.085
-8076,10026,0.247,1515.25,0.09
-8082,10032,0.221,1515.8,0.081
-8089,10039,0.241,1516.35,0.088
-8095,10045,0.233,1516.9,0.085
-8102,10052,0.221,1517.45,0.08
-8109,10059,0.227,1518,0.083
-8115,10065,0.241,1518.55,0.088
-8122,10072,0.22,1519.1,0.08
-8129,10079,0.221,1519.65,0.08
-8135,10085,0.221,1520.2,0.08
-8142,10092,0.222,1520.75,0.081
-8149,10099,0.229,1521.3,0.083
-8156,10106,0.223,1521.85,0.081
-8162,10112,0.215,1522.4,0.078
-8170,10120,0.214,1522.95,0.077
-8177,10127,0.214,1523.5,0.077
-8184,10134,0.233,1524.05,0.084
-8190,10140,0.215,1524.6,0.077
-8197,10147,0.228,1525.15,0.082
-8204,10154,0.224,1525.7,0.081
-8211,10161,0.225,1526.25,0.081
-8218,10168,0.232,1526.8,0.084
-8224,10174,0.225,1527.35,0.081
-8231,10181,0.217,1527.9,0.078
-8238,10188,0.211,1528.45,0.076
-8245,10195,0.238,1529,0.086
-8252,10202,0.242,1529.55,0.087
-8258,10208,0.231,1530.1,0.083
-8265,10215,0.208,1530.65,0.075
-8272,10222,0.211,1531.2,0.076
-8279,10229,0.194,1531.75,0.07
-8287,10237,0.213,1532.3,0.076
-8294,10244,0.209,1532.85,0.075
-8302,10252,0.206,1533.4,0.074
-8309,10259,0.218,1533.95,0.078
-8316,10266,0.228,1534.5,0.081
-8323,10273,0.227,1535.05,0.081
-8330,10280,0.234,1535.6,0.084
-8336,10286,0.228,1536.15,0.081
-8343,10293,0.223,1536.7,0.08
-8350,10300,0.234,1537.25,0.083
-8357,10307,0.219,1537.8,0.078
-8364,10314,0.241,1538.35,0.086
-8370,10320,0.232,1538.9,0.083
-8377,10327,0.223,1539.45,0.079
-8384,10334,0.242,1540,0.086
-8390,10340,0.203,1540.55,0.072
-8398,10348,0.228,1541.1,0.081
-8404,10354,0.229,1541.65,0.081
-8411,10361,0.202,1542.2,0.072
-8419,10369,0.228,1542.75,0.081
-8426,10376,0.207,1543.3,0.073
-8433,10383,0.231,1543.85,0.082
-8440,10390,0.22,1544.4,0.078
-8447,10397,0.223,1544.95,0.079
-8454,10404,0.189,1545.5,0.067
-8462,10412,0.218,1546.05,0.077
-8469,10419,0.216,1546.6,0.076
-8477,10427,0.206,1547.15,0.072
-8484,10434,0.229,1547.7,0.081
-8491,10441,0.219,1548.25,0.077
-8498,10448,0.237,1548.8,0.083
-8505,10455,0.224,1549.35,0.079
-8512,10462,0.221,1549.9,0.077
-8519,10469,0.223,1550.45,0.078
-8526,10476,0.223,1551,0.078
-8533,10483,0.206,1551.55,0.072
-8541,10491,0.215,1552.1,0.075
-8548,10498,0.223,1552.65,0.078
-8555,10505,0.218,1553.2,0.076
-8562,10512,0.22,1553.75,0.077
-8569,10519,0.203,1554.3,0.071
-8577,10527,0.208,1554.85,0.073
-8585,10535,0.226,1555.4,0.079
-8592,10542,0.243,1555.95,0.085
-8598,10548,0.192,1556.5,0.067
-8606,10556,0.219,1557.05,0.076
-8614,10564,0.204,1557.6,0.071
-8621,10571,0.212,1558.15,0.074
-8629,10579,0.201,1558.7,0.07
-8637,10587,0.221,1559.25,0.077
-8644,10594,0.208,1559.8,0.072
-8652,10602,0.222,1560.35,0.077
-8659,10609,0.224,1560.9,0.078
-8666,10616,0.229,1561.45,0.079
-8673,10623,0.207,1562,0.071
-8680,10630,0.199,1562.55,0.069
-8688,10638,0.215,1563.1,0.074
-8696,10646,0.217,1563.65,0.075
-8703,10653,0.198,1564.2,0.068
-8711,10661,0.229,1564.75,0.079
-8718,10668,0.188,1565.3,0.065
-8727,10677,0.173,1565.85,0.059
-8736,10686,0.213,1566.4,0.073
-8743,10693,0.197,1566.95,0.068
-8751,10701,0.203,1567.5,0.07
-8759,10709,0.205,1568.05,0.07
-8767,10717,0.207,1568.6,0.071
-8775,10725,0.189,1569.15,0.065
-8783,10733,0.208,1569.7,0.071
-8791,10741,0.215,1570.25,0.074
-8799,10749,0.215,1570.8,0.073
-8806,10756,0.201,1571.35,0.069
-8814,10764,0.193,1571.9,0.066
-8822,10772,0.215,1572.45,0.073
-8830,10780,0.202,1573,0.069
-8838,10788,0.203,1573.55,0.069
-8846,10796,0.193,1574.1,0.066
-8854,10804,0.207,1574.65,0.07
-8862,10812,0.202,1575.2,0.069
-8870,10820,0.203,1575.75,0.069
-8878,10828,0.183,1576.3,0.062
-8887,10837,0.223,1576.85,0.076
-8894,10844,0.222,1577.4,0.075
-8901,10851,0.215,1577.95,0.073
-8909,10859,0.198,1578.5,0.067
-8917,10867,0.21,1579.05,0.071
-8925,10875,0.22,1579.6,0.074
-8932,10882,0.197,1580.15,0.067
-8940,10890,0.219,1580.7,0.074
-8948,10898,0.199,1581.25,0.067
-8956,10906,0.208,1581.8,0.07
-8964,10914,0.216,1582.35,0.073
-8971,10921,0.205,1582.9,0.069
-8979,10929,0.176,1583.45,0.059
-8989,10939,0.196,1584,0.066
-8997,10947,0.192,1584.55,0.065
-9005,10955,0.188,1585.1,0.063
-9014,10964,0.21,1585.65,0.07
-9022,10972,0.199,1586.2,0.067
-9030,10980,0.215,1586.75,0.072
-9038,10988,0.191,1587.3,0.064
-9046,10996,0.19,1587.85,0.064
-9055,11005,0.171,1588.4,0.057
-9065,11015,0.213,1588.95,0.071
-9072,11022,0.19,1589.5,0.064
-9081,11031,0.202,1590.05,0.068
-9089,11039,0.2,1590.6,0.067
-9097,11047,0.181,1591.15,0.06
-9107,11057,0.203,1591.7,0.068
-9115,11065,0.205,1592.25,0.068
-9123,11073,0.21,1592.8,0.07
-9131,11081,0.172,1593.35,0.057
-9140,11090,0.191,1593.9,0.064
-9149,11099,0.209,1594.45,0.069
-9157,11107,0.197,1595,0.065
-9165,11115,0.211,1595.55,0.07
-9173,11123,0.209,1596.1,0.07
-9181,11131,0.23,1596.65,0.076
-9188,11138,0.219,1597.2,0.073
-9196,11146,0.188,1597.75,0.062
-9205,11155,0.217,1598.3,0.072
-9212,11162,0.213,1598.85,0.07
-9220,11170,0.169,1599.4,0.056
-9230,11180,0.203,1599.95,0.067
-9238,11188,0.195,1600.5,0.064
-9247,11197,0.202,1601.05,0.067
-9255,11205,0.179,1601.6,0.059
-9264,11214,0.188,1602.15,0.062
-9273,11223,0.206,1602.7,0.068
-9281,11231,0.172,1603.25,0.057
-9291,11241,0.186,1603.8,0.061
-9300,11250,0.181,1604.35,0.059
-9309,11259,0.159,1604.9,0.052
-9320,11270,0.161,1605.45,0.053
-9330,11280,0.168,1606,0.055
-9340,11290,0.201,1606.55,0.066
-9348,11298,0.158,1607.1,0.052
-9359,11309,0.174,1607.65,0.057
-9369,11319,0.189,1608.2,0.062
-9378,11328,0.171,1608.75,0.056
-9387,11337,0.17,1609.3,0.055
-9397,11347,0.203,1609.85,0.066
-9406,11356,0.193,1610.4,0.063
-9414,11364,0.196,1610.95,0.064
-9423,11373,0.206,1611.5,0.067
-9431,11381,0.175,1612.05,0.057
-9441,11391,0.18,1612.6,0.059
-9450,11400,0.189,1613.15,0.061
-9459,11409,0.224,1613.7,0.073
-9467,11417,0.216,1614.25,0.07
-9475,11425,0.207,1614.8,0.067
-9483,11433,0.206,1615.35,0.067
-9491,11441,0.181,1615.9,0.059
-9500,11450,0.218,1616.45,0.07
-9508,11458,0.192,1617,0.062
-9517,11467,0.196,1617.55,0.063
-9526,11476,0.207,1618.1,0.067
-9534,11484,0.182,1618.65,0.059
-9543,11493,0.21,1619.2,0.068
-9552,11502,0.211,1619.75,0.068
-9560,11510,0.155,1620.3,0.05
-9571,11521,0.219,1620.85,0.07
-9578,11528,0.197,1621.4,0.064
-9587,11537,0.176,1621.95,0.057
-9597,11547,0.173,1622.5,0.056
-9607,11557,0.151,1623.05,0.049
-9618,11568,0.154,1623.6,0.049
-9629,11579,0.105,1624.15,0.034
-9646,11596,0.106,1624.7,0.034
-9662,11612,0.135,1625.25,0.043
-9674,11624,0.144,1625.8,0.046
-9686,11636,0.125,1626.35,0.04
-9700,11650,0.111,1626.9,0.035
-9716,11666,0.079,1627.45,0.025
-9738,11688,0.148,1628,0.047
-9749,11699,0.117,1628.55,0.037
-9764,11714,0.085,1629.1,0.027
-9784,11734,0.144,1629.65,0.046
-9796,11746,0.103,1630.2,0.033
-9813,11763,0.088,1630.75,0.028
-9833,11783,0.107,1631.3,0.034
-9849,11799,0.126,1631.85,0.04
-9862,11812,0.11,1632.4,0.035
-9878,11828,0.134,1632.95,0.043
-9891,11841,0.136,1633.5,0.043
-9904,11854,0.1,1634.05,0.032
-9921,11871,0.121,1634.6,0.038
-9936,11886,0.116,1635.15,0.037
-9951,11901,0.12,1635.7,0.038
-9965,11915,0.124,1636.25,0.039
-9979,11929,0.127,1636.8,0.04
-9993,11943,0.122,1637.35,0.038
-10007,11957,0.111,1637.9,0.035
-10023,11973,0.098,1638.45,0.031
-10041,11991,0.126,1639,0.04
-10055,12005,0.1,1639.55,0.031
-10072,12022,0.126,1640.1,0.04
-10086,12036,0.107,1640.65,0.034
-10102,12052,0.092,1641.2,0.029
-10122,12072,0.164,1641.75,0.051
-10132,12082,0.096,1642.3,0.03
-10151,12101,0.099,1642.85,0.031
-10168,12118,0.106,1643.4,0.033
-10185,12135,0.136,1643.95,0.043
-10198,12148,0.087,1644.5,0.027
-10218,12168,0.122,1645.05,0.038
-10233,12183,0.094,1645.6,0.029
-10251,12201,0.1,1646.15,0.031
-10269,12219,0.147,1646.7,0.046
-10281,12231,0.118,1647.25,0.037
-10296,12246,0.099,1647.8,0.031
-10314,12264,0.102,1648.35,0.032
-10331,12281,0.137,1648.9,0.043
-10344,12294,0.108,1649.45,0.034
-10361,12311,0.113,1650,0.035
-10376,12326,0.109,1650.55,0.034
-10392,12342,0.09,1651.1,0.028
-10412,12362,0.092,1651.65,0.028
-10432,12382,0.096,1652.2,0.03
-10450,12400,0.086,1652.75,0.026
-10471,12421,0.125,1653.3,0.039
-10485,12435,0.085,1653.85,0.026
-10506,12456,0.088,1654.4,0.027
-10526,12476,0.106,1654.95,0.033
-10543,12493,0.091,1655.5,0.028
-10562,12512,0.084,1656.05,0.026
-10584,12534,0.077,1656.6,0.024
-10607,12557,0.078,1657.15,0.024
-10630,12580,0.096,1657.7,0.029
-10648,12598,0.125,1658.25,0.038
-10663,12613,0.094,1658.8,0.029
-10682,12632,0.136,1659.35,0.042
-10695,12645,0.139,1659.9,0.043
-10708,12658,0.13,1660.45,0.04
-10722,12672,0.156,1661,0.048
-10733,12683,0.137,1661.55,0.042
-10746,12696,0.143,1662.1,0.044
-10759,12709,0.191,1662.65,0.058
-10768,12718,0.159,1663.2,0.049
-10780,12730,0.178,1663.75,0.054
-10790,12740,0.146,1664.3,0.044
-10802,12752,0.153,1664.85,0.046
-10814,12764,0.183,1665.4,0.056
-10824,12774,0.174,1665.95,0.053
-10834,12784,0.172,1666.5,0.052
-10845,12795,0.15,1667.05,0.046
-10857,12807,0.149,1667.6,0.045
-10869,12819,0.132,1668.15,0.04
-10883,12833,0.175,1668.7,0.053
-10893,12843,0.164,1669.25,0.05
-10904,12854,0.137,1669.8,0.042
-10918,12868,0.158,1670.35,0.048
-10929,12879,0.129,1670.9,0.039
-10943,12893,0.14,1671.45,0.042
-10956,12906,0.135,1672,0.041
-10970,12920,0.122,1672.55,0.037
-10985,12935,0.106,1673.1,0.032
-11002,12952,0.129,1673.65,0.039
-11016,12966,0.15,1674.2,0.045
-11028,12978,0.104,1674.75,0.031
-11046,12996,0.131,1675.3,0.039
-11060,13010,0.112,1675.85,0.034
-11076,13026,0.14,1676.4,0.042
-11089,13039,0.143,1676.95,0.043
-11102,13052,0.143,1677.5,0.043
-11115,13065,0.132,1678.05,0.039
-11129,13079,0.14,1678.6,0.042
-11142,13092,0.167,1679.15,0.05
-11153,13103,0.155,1679.7,0.046
-11165,13115,0.122,1680.25,0.036
-11180,13130,0.158,1680.8,0.047
-11192,13142,0.166,1681.35,0.049
-11203,13153,0.184,1681.9,0.055
-11213,13163,0.185,1682.45,0.055
-11223,13173,0.159,1683,0.047
-11235,13185,0.166,1683.55,0.049
-11246,13196,0.174,1684.1,0.052
-11256,13206,0.176,1684.65,0.052
-11267,13217,0.175,1685.2,0.052
-11278,13228,0.153,1685.75,0.045
-11290,13240,0.2,1686.3,0.059
-11299,13249,0.177,1686.85,0.052
-11310,13260,0.181,1687.4,0.054
-11320,13270,0.157,1687.95,0.046
-11332,13282,0.177,1688.5,0.052
-11342,13292,0.164,1689.05,0.048
-11354,13304,0.179,1689.6,0.053
-11364,13314,0.191,1690.15,0.056
-11374,13324,0.215,1690.7,0.063
-11383,13333,0.21,1691.25,0.062
-11391,13341,0.175,1691.8,0.051
-11402,13352,0.188,1692.35,0.055
-11412,13362,0.185,1692.9,0.054
-11422,13372,0.174,1693.45,0.051
-11433,13383,0.185,1694,0.054
-11443,13393,0.184,1694.55,0.054
-11453,13403,0.154,1695.1,0.045
-11466,13416,0.137,1695.65,0.04
-11479,13429,0.146,1696.2,0.043
-11492,13442,0.178,1696.75,0.052
-11503,13453,0.179,1697.3,0.052
-11513,13463,0.17,1697.85,0.05
-11524,13474,0.185,1698.4,0.054
-11535,13485,0.183,1698.95,0.053
-11545,13495,0.194,1699.5,0.056
-11555,13505,0.169,1700.05,0.049
-11566,13516,0.177,1700.6,0.051
-11576,13526,0.179,1701.15,0.052
-11587,13537,0.207,1701.7,0.06
-11596,13546,0.192,1702.25,0.056
-11606,13556,0.18,1702.8,0.052
-11617,13567,0.182,1703.35,0.053
-11627,13577,0.169,1703.9,0.049
-11638,13588,0.189,1704.45,0.055
-11648,13598,0.166,1705,0.048
-11660,13610,0.176,1705.55,0.051
-11671,13621,0.188,1706.1,0.054
-11681,13631,0.169,1706.65,0.049
-11692,13642,0.171,1707.2,0.049
-11703,13653,0.168,1707.75,0.048
-11715,13665,0.203,1708.3,0.058
-11724,13674,0.185,1708.85,0.053
-11734,13684,0.17,1709.4,0.049
-11746,13696,0.164,1709.95,0.047
-11757,13707,0.197,1710.5,0.056
-11767,13717,0.191,1711.05,0.055
-11777,13727,0.185,1711.6,0.053
-11787,13737,0.199,1712.15,0.057
-11797,13747,0.2,1712.7,0.057
-11807,13757,0.171,1713.25,0.049
-11818,13768,0.161,1713.8,0.046
-11830,13780,0.185,1714.35,0.053
-11840,13790,0.14,1714.9,0.04
-11854,13804,0.145,1715.45,0.041
-11867,13817,0.119,1716,0.034
-11884,13834,0.141,1716.55,0.04
-11897,13847,0.138,1717.1,0.039
-11911,13861,0.143,1717.65,0.041
-11925,13875,0.153,1718.2,0.044
-11938,13888,0.197,1718.75,0.056
-11947,13897,0.188,1719.3,0.053
-11958,13908,0.182,1719.85,0.052
-11968,13918,0.195,1720.4,0.055
-11978,13928,0.204,1720.95,0.058
-11988,13938,0.153,1721.5,0.043
-12001,13951,0.205,1722.05,0.058
-12010,13960,0.166,1722.6,0.047
-12022,13972,0.172,1723.15,0.049
-12033,13983,0.198,1723.7,0.056
-12043,13993,0.185,1724.25,0.052
-12054,14004,0.198,1724.8,0.056
-12063,14013,0.198,1725.35,0.056
-12073,14023,0.174,1725.9,0.049
-12085,14035,0.195,1726.45,0.055
-12095,14045,0.204,1727,0.057
-12104,14054,0.208,1727.55,0.058
-12114,14064,0.209,1728.1,0.059
-12123,14073,0.197,1728.65,0.055
-12133,14083,0.222,1729.2,0.062
-12142,14092,0.2,1729.75,0.056
-12152,14102,0.234,1730.3,0.065
-12160,14110,0.203,1730.85,0.057
-12170,14120,0.237,1731.4,0.066
-12178,14128,0.225,1731.95,0.063
-12187,14137,0.223,1732.5,0.062
-12196,14146,0.22,1733.05,0.061
-12205,14155,0.193,1733.6,0.054
-12215,14165,0.216,1734.15,0.06
-12224,14174,0.196,1734.7,0.054
-12234,14184,0.215,1735.25,0.059
-12243,14193,0.229,1735.8,0.063
-12252,14202,0.22,1736.35,0.061
-12261,14211,0.19,1736.9,0.052
-12272,14222,0.215,1737.45,0.059
-12281,14231,0.218,1738,0.06
-12290,14240,0.223,1738.55,0.062
-12299,14249,0.224,1739.1,0.062
-12308,14258,0.209,1739.65,0.058
-12317,14267,0.208,1740.2,0.057
-12327,14277,0.211,1740.75,0.058
-12336,14286,0.248,1741.3,0.068
-12344,14294,0.227,1741.85,0.062
-12353,14303,0.247,1742.4,0.068
-12361,14311,0.226,1742.95,0.062
-12370,14320,0.215,1743.5,0.059
-12380,14330,0.236,1744.05,0.065
-12388,14338,0.223,1744.6,0.061
-12397,14347,0.229,1745.15,0.063
-12406,14356,0.238,1745.7,0.065
-12414,14364,0.225,1746.25,0.061
-12423,14373,0.202,1746.8,0.055
-12433,14383,0.245,1747.35,0.067
-12441,14391,0.225,1747.9,0.061
-12450,14400,0.22,1748.45,0.06
-12460,14410,0.202,1749,0.055
-12470,14420,0.214,1749.55,0.058
-12479,14429,0.182,1750.1,0.049
-12490,14440,0.219,1750.65,0.059
-12499,14449,0.211,1751.2,0.057
-12509,14459,0.19,1751.75,0.051
